Kod;NAZWA;Owner;User;ComputerIP;Version
0664011;Zamość;Admin;Admin;localhost;
0801011;Kostrzyn nad Odrą;Admin;Admin;localhost;
0801022;Bogdaniec;Admin;Admin;localhost;
0801032;Deszczno;Admin;Admin;localhost;
0801042;Kłodawa;Admin;Admin;localhost;
0801052;Lubiszyn;Admin;Admin;localhost;
0801062;Santok;Admin;Admin;localhost;
0801073;Witnica;Admin;Admin;localhost;
0802011;Gubin;Admin;Admin;localhost;
0802022;Bobrowice;Admin;Admin;localhost;
0802032;Bytnica;Admin;Admin;localhost;
0802042;Dąbie;Admin;Admin;localhost;
0802052;Gubin;Admin;Admin;localhost;
0802063;Krosno Odrzańskie;Admin;Admin;localhost;
0802072;Maszewo;Admin;Admin;localhost;
0803012;Bledzew;Admin;Admin;localhost;
0803023;Międzyrzecz;Admin;Admin;localhost;
0803032;Przytoczna;Admin;Admin;localhost;
0803042;Pszczew;Admin;Admin;localhost;
0803053;Skwierzyna;Admin;Admin;localhost;
0803063;Trzciel;Admin;Admin;localhost;
0804011;Nowa Sól;Admin;Admin;localhost;
0804023;Bytom Odrzański;Admin;Admin;localhost;
0804032;Kolsko;Admin;Admin;localhost;
0804043;Kożuchów;Admin;Admin;localhost;
0804052;Nowa Sól;Admin;Admin;localhost;
0804063;Nowe Miasteczko;Admin;Admin;localhost;
0804072;Otyń;Admin;Admin;localhost;
0804082;Siedlisko;Admin;Admin;localhost;
0805013;Cybinka;Admin;Admin;localhost;
0805022;Górzyca;Admin;Admin;localhost;
0805033;Ośno Lubuskie;Admin;Admin;localhost;
0805043;Rzepin;Admin;Admin;localhost;
0805053;Słubice;Admin;Admin;localhost;
0806013;Dobiegniew;Admin;Admin;localhost;
0806023;Drezdenko;Admin;Admin;localhost;
0806032;Stare Kurowo;Admin;Admin;localhost;
0806043;Strzelce Krajeńskie;Admin;Admin;localhost;
0806052;Zwierzyn;Admin;Admin;localhost;
0807012;Krzeszyce;Admin;Admin;localhost;
0807023;Lubniewice;Admin;Admin;localhost;
0807032;Słońsk;Admin;Admin;localhost;
0807043;Sulęcin;Admin;Admin;localhost;
0807053;Torzym;Admin;Admin;localhost;
